# CREATED_DATE: 2023-02-01T18:00:43.822Z
# MODIFIED_DATE: 2024-02-14T10:03:44.841Z
# STATUS: Following
# OBS_GROUP: Unknown
# NON_DETECT_BAND: ACAM1 - orange
# BEST_SPEC_CLASS: SN Ia
# PHOTO_CLASS: None
# CONTEXT_CLASS: SN
# BEST_SPECTRUM: None
# HOST: Host: NGC2708:[PWL2002]STR; (08:56:12.50, -03:17:58.99)
# ABS_MAG_PEAK_BAND: None
# ANTARES_CLASSIFICATION: None
# INTERNAL_SURVEY: None
# NAME: 2023bee
# RA: 134.0484380100887
# DEC: -3.3255440014668474
# RA_ERR: None
# DEC_ERR: None
# DISC_DATE: 2023-02-01T17:59:54.816Z
# REDSHIFT: 0.006698
# REDSHIFT_ERR: None
# REDSHIFT_SOURCE: None
# NON_DETECT_DATE: 2023-01-31T09:10:17Z
# NON_DETECT_LIMIT: 17.71
# MW_EBV: 0.014
# ABS_MAG_PEAK: None
# ABS_MAG_PEAK_DATE: None
# POSTAGE_STAMP_FILE: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.jpeg
# POSTAGE_STAMP_REF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.jpeg
# POSTAGE_STAMP_DIFF: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.jpeg
# POSTAGE_STAMP_FILE_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_target.fits
# POSTAGE_STAMP_REF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_ref.fits
# POSTAGE_STAMP_DIFF_FITS: 13BYSEaqb/59978/1085611630031932000_59978.554_125462112_51_diff.fits
# K2_VALIDATED: None
# K2_MSG: None
# TNS_SPEC_CLASS: SN Ia
# POINT_SOURCE_PROBABILITY: None
# ALT_STATUS: GOOD
# SLUG: 2023bee
# REAL_BOGUS_SCORE: 0.0943543
# HAS_HST: True
# HAS_SPITZER: None
# HAS_CHANDRA: False
# TAGS: [10, 16, 21, 22, 29, 30, 32, 47, 68, 90, 100]

VARLIST:  MJD        FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR     MAGSYS   TELESCOPE    INSTRUMENT   DQ
OBS:      60251.519  g-ZTF  3487.866  264.349  18.644  0.082  None  P48  ZTF-Cam  None
OBS:      60253.464  g-ZTF  3019.673  289.506  18.800  0.104  None  P48  ZTF-Cam  None
OBS:      60253.498  r-ZTF  602.504  236.515  20.550  0.426  None  P48  ZTF-Cam  None
OBS:      60256.475  g-ZTF  2698.236  302.020  18.922  0.122  None  P48  ZTF-Cam  None
OBS:      60258.462  r-ZTF  810.812  179.791  20.228  0.241  None  P48  ZTF-Cam  None
OBS:      60258.523  g-ZTF  2895.478  247.191  18.846  0.093  None  P48  ZTF-Cam  None
OBS:      60260.481  g-ZTF  2952.026  281.334  18.825  0.103  None  P48  ZTF-Cam  None
OBS:      60263.466  g-ZTF  2753.069  329.441  18.900  0.130  None  P48  ZTF-Cam  None
OBS:      60287.382  g-ZTF  2133.334  281.223  19.177  0.143  None  P48  ZTF-Cam  None
OBS:      60288.461  g-ZTF  1822.023  231.921  19.349  0.138  None  P48  ZTF-Cam  None
OBS:      60290.462  g-ZTF  1989.529  204.647  19.253  0.112  None  P48  ZTF-Cam  None
OBS:      60322.442  g-ZTF  1294.076  218.015  19.720  0.183  None  P48  ZTF-Cam  None
OBS:      60324.379  g-ZTF  1252.398  159.348  19.756  0.138  None  P48  ZTF-Cam  None
OBS:      60326.366  g-ZTF  1169.931  197.131  19.830  0.183  None  P48  ZTF-Cam  None
OBS:      60341.253  g-ZTF  1020.801  162.675  19.978  0.173  None  P48  ZTF-Cam  None
OBS:      60352.289  g-ZTF  973.615  161.975  20.029  0.181  None  P48  ZTF-Cam  None
OBS:      60354.312  g-ZTF  772.823  164.305  20.280  0.231  None  P48  ZTF-Cam  None
OBS:      60357.370  g-ZTF  849.209  169.222  20.177  0.216  None  P48  ZTF-Cam  None
OBS:      59976.916  UVW1  1137.627  191.158  19.860  0.180  None  Swift  UVOT  None
OBS:      59976.917  U  5011.872  470.638  18.250  0.100  None  Swift  UVOT  None
OBS:      59976.918  B  14060.475  1067.639  17.130  0.080  None  Swift  UVOT  None
OBS:      59976.919  UVW2  155.597  155.310  22.020  1.080  None  Swift  UVOT  Bad
OBS:      59976.923  V  13427.650  1488.861  17.180  0.120  None  Swift  UVOT  None
OBS:      59976.924  UVM2  97.275  97.096  22.530  1.080  None  Swift  UVOT  Bad
OBS:      59977.370  UVW1  758.578  162.017  20.300  0.230  None  Swift  UVOT  None
OBS:      59977.372  U  5199.960  488.300  18.210  0.100  None  Swift  UVOT  None
OBS:      59977.373  B  17218.686  1154.272  16.910  0.070  None  Swift  UVOT  None
OBS:      59977.374  UVW2  161.436  161.139  21.980  1.080  None  Swift  UVOT  Bad
OBS:      59977.378  V  15703.628  1597.166  17.010  0.110  None  Swift  UVOT  None
OBS:      59977.379  UVM2  90.365  90.199  22.610  1.080  None  Swift  UVOT  Bad
OBS:      59977.908  UVW1  1247.384  198.280  19.760  0.170  None  Swift  UVOT  None
OBS:      59977.910  U  7311.391  620.697  17.840  0.090  None  Swift  UVOT  None
OBS:      59977.911  B  24434.306  1422.985  16.530  0.060  None  Swift  UVOT  None
OBS:      59977.912  UVW2  216.770  60.180  21.660  0.300  None  Swift  UVOT  Bad
OBS:      59977.916  V  19588.447  1812.721  16.770  0.100  None  Swift  UVOT  None
OBS:      59977.917  UVM2  109.648  32.450  22.400  0.320  None  Swift  UVOT  Bad
OBS:      59978.046  UVW1  1137.627  191.158  19.860  0.180  None  Swift  UVOT  None
